,value,x2,p,dof,significant
0,ရှိ,1.138367779681046,0.28599748822563037,1,0
1,ဖြစ်,0.029820612910599138,0.8628978885169304,1,0
2,သေဆုံး,7.404622668588635,0.006505648772495317,1,1
3,ကစား,4.58335155303944,0.03228401066901181,1,1
4,ပါဝင်,8.2789809124654,0.0040106632561909,1,1
5,ဖြစ်ပွား,0.04337613983440944,0.8350186289071003,1,0
6,ရရှိ,0.12314652942259507,0.7256465675804523,1,0
7,တွေ့,2.0521654517902563,0.15198987804310024,1,0
8,အသုံးပြု,2.1953860326038295,0.13842452599750402,1,0
9,စတင်,0.5551557000936237,0.4562186964575454,1,0
10,နေထိုင်,0.00019984672814106242,0.9887209085598943,1,0
11,ကျင်းပ,0.33976011409323426,0.5599677213357483,1,0
12,ရောက်,0.10982028222228363,0.7403488347371622,1,0
13,ပြော,0.25336414946999763,0.6147161747855807,1,0
14,လုပ်,0.17228095164137003,0.6780925590189599,1,0
